track;album;artist
God Only Knows - Stereo / Remastered 1996;Pet Sounds;The Beach Boys
I Know There's An Answer - Stereo / Remastered;Pet Sounds;The Beach Boys
Here Today - Stereo / Remastered;Pet Sounds;The Beach Boys
I Just Wasn't Made For These Times - Stereo / Remastered;Pet Sounds;The Beach Boys
Pet Sounds - Stereo / Remastered;Pet Sounds;The Beach Boys
Caroline, No - Stereo / Remastered;Pet Sounds;The Beach Boys
All I Want by KillBossa;Blue;Joni Mitchell
My Old Man by Bharathi Palivela & Daniel Fabricant;Blue;Joni Mitchell
Little Green by Kelly McFarling;Blue;Joni Mitchell
Carey by the Beth Custer Ensemble;Blue;Joni Mitchell
Blue by Kitka;Blue;Joni Mitchell
California by Amy X Neuburg;Blue;Joni Mitchell
This Flight Tonight by Adam Theis (feat. Aima the Dreamer & Erica Dee);Blue;Joni Mitchell
River by Suzy Thompson;Blue;Joni Mitchell
A Case of You by the Seshen;Blue;Joni Mitchell
Last Time I Saw Richard by Katy Stephan and Classical Revolution;Blue;Joni Mitchell
Love's In Need Of Love Today;Songs in the Key of Life;Stevie Wonder
Have A Talk With God;Songs in the Key of Life;Stevie Wonder
Village Ghetto Land;Songs in the Key of Life;Stevie Wonder
Contusion;Songs in the Key of Life;Stevie Wonder
Sir Duke;Songs in the Key of Life;Stevie Wonder
I Wish;Songs in the Key of Life;Stevie Wonder
Knocks Me Off My Feet;Songs in the Key of Life;Stevie Wonder
Pastime Paradise;Songs in the Key of Life;Stevie Wonder
Summer Soft;Songs in the Key of Life;Stevie Wonder
Ordinary Pain;Songs in the Key of Life;Stevie Wonder
Isn't She Lovely;Songs in the Key of Life;Stevie Wonder
Joy Inside My Tears;Songs in the Key of Life;Stevie Wonder
Black Man;Songs in the Key of Life;Stevie Wonder
Ngiculela-Es Una Historia-I Am Singing;Songs in the Key of Life;Stevie Wonder
If It's Magic;Songs in the Key of Life;Stevie Wonder
As;Songs in the Key of Life;Stevie Wonder
Another Star;Songs in the Key of Life;Stevie Wonder
Saturn;Songs in the Key of Life;Stevie Wonder
Ebony Eyes;Songs in the Key of Life;Stevie Wonder
All Day Sucker;Songs in the Key of Life;Stevie Wonder
Easy Goin' Evening (My Mama's Call);Songs in the Key of Life;Stevie Wonder
Come Together - Remastered 2009;Abbey Road;The Beatles
Something - Remastered 2009;Abbey Road;The Beatles
Maxwell's Silver Hammer - Remastered 2009;Abbey Road;The Beatles
Oh! Darling - Remastered 2009;Abbey Road;The Beatles
Octopus's Garden - Remastered 2009;Abbey Road;The Beatles
I Want You (She's So Heavy) - Remastered 2009;Abbey Road;The Beatles
Here Comes The Sun - Remastered 2009;Abbey Road;The Beatles
Because - Remastered 2009;Abbey Road;The Beatles
You Never Give Me Your Money - Remastered 2009;Abbey Road;The Beatles
Sun King - Remastered 2009;Abbey Road;The Beatles
Mean Mr Mustard - Remastered 2009;Abbey Road;The Beatles
Polythene Pam - Remastered 2009;Abbey Road;The Beatles
She Came In Through The Bathroom Window - Remastered 2009;Abbey Road;The Beatles
Golden Slumbers - Remastered 2009;Abbey Road;The Beatles
Carry That Weight - Remastered 2009;Abbey Road;The Beatles
The End - Remastered 2009;Abbey Road;The Beatles
Her Majesty - Remastered 2009;Abbey Road;The Beatles
Smells Like Teen Spirit;Nevermind;Nirvana
In Bloom;Nevermind;Nirvana
Come As You Are;Nevermind;Nirvana
Breed;Nevermind;Nirvana
Lithium;Nevermind;Nirvana
Polly;Nevermind;Nirvana
Territorial Pissings;Nevermind;Nirvana
Drain You;Nevermind;Nirvana
Lounge Act;Nevermind;Nirvana
Stay Away;Nevermind;Nirvana
On A Plain;Nevermind;Nirvana
Something In The Way;Nevermind;Nirvana
Endless, Nameless;Nevermind;Nirvana
Second Hand News - 2004 Remaster;Rumours;Fleetwood Mac
Dreams - 2004 Remaster;Rumours;Fleetwood Mac
Never Going Back Again - 2004 Remaster;Rumours;Fleetwood Mac
Don't Stop - 2004 Remaster;Rumours;Fleetwood Mac
Go Your Own Way - 2004 Remaster;Rumours;Fleetwood Mac
Songbird - 2004 Remaster;Rumours;Fleetwood Mac
The Chain - 2004 Remaster;Rumours;Fleetwood Mac
You Make Loving Fun - 2004 Remaster;Rumours;Fleetwood Mac
I Don't Want to Know - 2004 Remaster;Rumours;Fleetwood Mac
Oh Daddy - 2004 Remaster;Rumours;Fleetwood Mac
Gold Dust Woman - 2004 Remaster;Rumours;Fleetwood Mac
Silver Springs - 2004 Remaster;Rumours;Fleetwood Mac
Intro - Live 1977;Rumours;Fleetwood Mac
Monday Morning - Live at The Fabulous Forum, Inglewood, CA 08/29/77;Rumours;Fleetwood Mac
Dreams - Live 1977;Rumours;Fleetwood Mac
Don't Stop - Live 1977;Rumours;Fleetwood Mac
The Chain - Live 1977;Rumours;Fleetwood Mac
Oh Daddy - Live 1977;Rumours;Fleetwood Mac
Rhiannon - Live 1977;Rumours;Fleetwood Mac
Never Going Back Again - Live 1977;Rumours;Fleetwood Mac
"Gold Dust Woman - Live 1977; 2013 Remaster";Rumours;Fleetwood Mac
"World Turning - Live at The Fabulous Forum, Inglewood, CA 08/29/77; 2013 Remaster";Rumours;Fleetwood Mac
Go Your Own Way - Live 1977;Rumours;Fleetwood Mac
Songbird - Live 1977;Rumours;Fleetwood Mac
Second Hand News - Early Take;Rumours;Fleetwood Mac
Dreams - Take 2;Rumours;Fleetwood Mac
Never Going Back Again - Acoustic Duet;Rumours;Fleetwood Mac
Go Your Own Way - Early Take;Rumours;Fleetwood Mac
Songbird - Demo;Rumours;Fleetwood Mac
Songbird - Instrumental, Take 10;Rumours;Fleetwood Mac
I Don't Want to Know - Early Take;Rumours;Fleetwood Mac
"Keep Me There - Instrumental; 2013 Remaster";Rumours;Fleetwood Mac
The Chain - Demo;Rumours;Fleetwood Mac
"Keep Me There - With Vocal; 2013 Remaster";Rumours;Fleetwood Mac
"Gold Dust Woman - Early Take; 2013 Remaster";Rumours;Fleetwood Mac
Oh Daddy - Early Take;Rumours;Fleetwood Mac
Silver Springs - Early Take;Rumours;Fleetwood Mac
"Planets of the Universe - Demo; 2013 Remaster";Rumours;Fleetwood Mac
"Doesn't Anything Last - Acoustic Duet; 2013 Remaster";Rumours;Fleetwood Mac
Never Going Back Again - Instrumental;Rumours;Fleetwood Mac
"Second Hand News - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"Dreams - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"Brushes (Never Going Back Again) - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"Don't Stop - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"Go Your Own Way - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"Songbird - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"Silver Springs - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
"You Make Loving Fun - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
Gold Dust Woman #1 - Sessions, Roughs & Outtakes 2004 Remaster;Rumours;Fleetwood Mac
"Oh Daddy - Sessions, Roughs & Outtakes; 2004 Remaster";Rumours;Fleetwood Mac
Let's Go Crazy;Purple Rain;Prince
Take Me with U;Purple Rain;Prince
The Beautiful Ones;Purple Rain;Prince
Computer Blue;Purple Rain;Prince
Darling Nikki;Purple Rain;Prince
When Doves Cry;Purple Rain;Prince
I Would Die 4 U;Purple Rain;Prince
Baby I'm a Star;Purple Rain;Prince
Purple Rain;Purple Rain;Prince
Tangled up in Blue;Blood on the Tracks;Bob Dylan
Simple Twist of Fate;Blood on the Tracks;Bob Dylan
You're a Big Girl Now;Blood on the Tracks;Bob Dylan
Idiot Wind;Blood on the Tracks;Bob Dylan
You're Gonna Make Me Lonesome When You Go;Blood on the Tracks;Bob Dylan
Meet Me in the Morning;Blood on the Tracks;Bob Dylan
Lily, Rosemary and the Jack of Hearts;Blood on the Tracks;Bob Dylan
If You See Her, Say Hello;Blood on the Tracks;Bob Dylan
Shelter from the Storm;Blood on the Tracks;Bob Dylan
Buckets of Rain;Blood on the Tracks;Bob Dylan
Intro;The Miseducation of Lauryn Hill;Lauryn Hill
Lost Ones;The Miseducation of Lauryn Hill;Lauryn Hill
Ex-Factor;The Miseducation of Lauryn Hill;Lauryn Hill
To Zion (feat. Carlos Santana);The Miseducation of Lauryn Hill;Lauryn Hill
Doo Wop (That Thing);The Miseducation of Lauryn Hill;Lauryn Hill
Superstar;The Miseducation of Lauryn Hill;Lauryn Hill
Final Hour;The Miseducation of Lauryn Hill;Lauryn Hill
When It Hurts so Bad;The Miseducation of Lauryn Hill;Lauryn Hill
I Used to Love Him (feat. Mary J. Blige);The Miseducation of Lauryn Hill;Lauryn Hill
Forgive Them Father;The Miseducation of Lauryn Hill;Lauryn Hill
Every Ghetto, Every City;The Miseducation of Lauryn Hill;Lauryn Hill
Nothing Even Matters (feat. D'Angelo);The Miseducation of Lauryn Hill;Lauryn Hill
Everything Is Everything;The Miseducation of Lauryn Hill;Lauryn Hill
The Miseducation of Lauryn Hill;The Miseducation of Lauryn Hill;Lauryn Hill
Can't Take My Eyes Off of You - (I Love You Baby);The Miseducation of Lauryn Hill;Lauryn Hill
Tell Him;The Miseducation of Lauryn Hill;Lauryn Hill
Taxman - Remastered 2009;Revolver;The Beatles
Eleanor Rigby - Remastered 2009;Revolver;The Beatles
I'm Only Sleeping - Remastered 2009;Revolver;The Beatles
Love You To - Remastered 2009;Revolver;The Beatles
Here, There And Everywhere - Remastered 2009;Revolver;The Beatles
Yellow Submarine - Remastered 2009;Revolver;The Beatles
She Said She Said - Remastered 2009;Revolver;The Beatles
Good Day Sunshine - Remastered 2009;Revolver;The Beatles
And Your Bird Can Sing - Remastered 2009;Revolver;The Beatles
For No One - Remastered 2009;Revolver;The Beatles
Doctor Robert - Remastered 2009;Revolver;The Beatles
I Want To Tell You - Remastered 2009;Revolver;The Beatles
Got To Get You Into My Life - Remastered 2009;Revolver;The Beatles
Tomorrow Never Knows - Remastered 2009;Revolver;The Beatles
Wanna Be Startin' Somethin';Thriller;Michael Jackson
Baby Be Mine;Thriller;Michael Jackson
The Girl Is Mine (with Paul McCartney);Thriller;Michael Jackson
Thriller;Thriller;Michael Jackson
Beat It;Thriller;Michael Jackson
Billie Jean;Thriller;Michael Jackson
Human Nature;Thriller;Michael Jackson
P.Y.T. (Pretty Young Thing);Thriller;Michael Jackson
The Lady in My Life;Thriller;Michael Jackson
"Vincent Price Excerpt From ""Thriller"" Voice-Over Session - Thriller 25th Anniversary Voice-Over Session";Thriller;Michael Jackson
The Girl Is Mine (2008 with will.i.am) (with will.i.am) - Thriller 25th Anniversary Remix;Thriller;Michael Jackson
P.Y.T. (Pretty Young Thing) (2008 with will.i.am) (with will.i.am) - Thriller 25th Anniversary Remix;Thriller;Michael Jackson
Wanna Be Startin' Somethin' (2008 with Akon) (with Akon) - Thriller 25th Anniversary Remix;Thriller;Michael Jackson
Beat It (2008 with Fergie Remix) (with Fergie) - Thriller 25th Anniversary Remix;Thriller;Michael Jackson
Billie Jean (2008 Kayne West Mix) (feat. Kanye West) - Thriller 25th Anniversary Remix;Thriller;Michael Jackson
For All Time;Thriller;Michael Jackson
Voice-Over Intro Quincy Jones Interview #1 / Quincy Jones Interview #1;Thriller;Michael Jackson
Someone in the Dark;Thriller;Michael Jackson
Voice-Over Intro Quincy Jones Interview #2/Quincy Jones Interview #2 / Voice-Over Intro Billie Jean (Demo);Thriller;Michael Jackson
Billie Jean (1981 Home Demo);Thriller;Michael Jackson
Quincy Jones Interview #3;Thriller;Michael Jackson
Voice-Over Intro Rod Temperton Interview #1 / Rod Temperton Interview #1;Thriller;Michael Jackson
Quincy Jones Interview #4;Thriller;Michael Jackson
Voice-Over Intro / Voice-Over Session from Thriller;Thriller;Michael Jackson
Voice-Over Intro Rod Temperton Interview #2 / Rod Temperton Interview #2;Thriller;Michael Jackson
Quincy Jones Interview #5;Thriller;Michael Jackson
Carousel;Thriller;Michael Jackson
Voice-Over Intro Quincy Jones Interview #6 / Quincy Jones Interview #6;Thriller;Michael Jackson
Billie Jean - Underground Mix;Thriller;Michael Jackson
Thriller - Instrumental;Thriller;Michael Jackson
Respect;I Never Loved a Man the Way I Love You;Aretha Franklin
Drown in My Own Tears;I Never Loved a Man the Way I Love You;Aretha Franklin
I Never Loved a Man (The Way I Love You);I Never Loved a Man the Way I Love You;Aretha Franklin
Soul Serenade;I Never Loved a Man the Way I Love You;Aretha Franklin
Don't Let Me Lose This Dream;I Never Loved a Man the Way I Love You;Aretha Franklin
Baby, Baby, Baby;I Never Loved a Man the Way I Love You;Aretha Franklin
Dr. Feelgood (Love Is a Serious Business);I Never Loved a Man the Way I Love You;Aretha Franklin
Good Times;I Never Loved a Man the Way I Love You;Aretha Franklin
Do Right Woman, Do Right Man;I Never Loved a Man the Way I Love You;Aretha Franklin
Save Me;I Never Loved a Man the Way I Love You;Aretha Franklin
A Change Is Gonna Come;I Never Loved a Man the Way I Love You;Aretha Franklin
Respect;I Never Loved a Man the Way I Love You;Aretha Franklin
I Never Loved a Man (The Way I Love You) - Stereo;I Never Loved a Man the Way I Love You;Aretha Franklin
Do Right Woman, Do Right Man;I Never Loved a Man the Way I Love You;Aretha Franklin
Rocks Off;Exile on Main St.;The Rolling Stones
Rip This Joint;Exile on Main St.;The Rolling Stones
Shake Your Hips;Exile on Main St.;The Rolling Stones
Casino Boogie;Exile on Main St.;The Rolling Stones
Tumbling Dice;Exile on Main St.;The Rolling Stones
Sweet Virginia;Exile on Main St.;The Rolling Stones
Torn And Frayed;Exile on Main St.;The Rolling Stones
Sweet Black Angel;Exile on Main St.;The Rolling Stones
Loving Cup;Exile on Main St.;The Rolling Stones
Happy;Exile on Main St.;The Rolling Stones
Turd On The Run;Exile on Main St.;The Rolling Stones
Ventilator Blues;Exile on Main St.;The Rolling Stones
I Just Want To See His Face;Exile on Main St.;The Rolling Stones
Let It Loose;Exile on Main St.;The Rolling Stones
All Down The Line;Exile on Main St.;The Rolling Stones
Stop Breaking Down;Exile on Main St.;The Rolling Stones
Shine A Light;Exile on Main St.;The Rolling Stones
Soul Survivor;Exile on Main St.;The Rolling Stones
Countdown To Armageddon;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Bring The Noise;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Don't Believe The Hype;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Cold Lampin' With Flavor;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Terminator X To The Edge Of Panic;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Mind Terrorist;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Louder Than A Bomb;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Caught, Can We Get A Witness?;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Show 'Em Whatcha Got;It Takes a Nation of Millions to Hold Us Back;Public Enemy
She Watch Channel Zero?!;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Night Of The Living Baseheads;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Black Steel In The Hour Of Chaos;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Security Of The First World;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Rebel Without A Pause;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Prophets Of Rage;It Takes a Nation of Millions to Hold Us Back;Public Enemy
Party For Your Right To Fight;It Takes a Nation of Millions to Hold Us Back;Public Enemy
London Calling - Remastered;London Calling;The Clash
Brand New Cadillac - Remastered;London Calling;The Clash
Jimmy Jazz - Remastered;London Calling;The Clash
Hateful - Remastered;London Calling;The Clash
Rudie Can't Fail - Remastered;London Calling;The Clash
Spanish Bombs - Remastered;London Calling;The Clash
The Right Profile - Remastered;London Calling;The Clash
Lost in the Supermarket - Remastered;London Calling;The Clash
Clampdown - Remastered;London Calling;The Clash
The Guns of Brixton - Remastered;London Calling;The Clash
Wrong 'Em Boyo - Remastered;London Calling;The Clash
Death or Glory - Remastered;London Calling;The Clash
Koka Kola - Remastered;London Calling;The Clash
The Card Cheat - Remastered;London Calling;The Clash
Lover's Rock - Remastered;London Calling;The Clash
Four Horsemen - Remastered;London Calling;The Clash
I'm Not Down - Remastered;London Calling;The Clash
Revolution Rock - Remastered;London Calling;The Clash
Train in Vain (Stand by Me) - Remastered;London Calling;The Clash
Dark Fantasy;My Beautiful Dark Twisted Fantasy;Kanye West
Gorgeous;My Beautiful Dark Twisted Fantasy;Kanye West
POWER;My Beautiful Dark Twisted Fantasy;Kanye West
All Of The Lights (Interlude);My Beautiful Dark Twisted Fantasy;Kanye West
All Of The Lights;My Beautiful Dark Twisted Fantasy;Kanye West
Monster;My Beautiful Dark Twisted Fantasy;Kanye West
So Appalled;My Beautiful Dark Twisted Fantasy;Kanye West
Devil In A New Dress;My Beautiful Dark Twisted Fantasy;Kanye West
Runaway;My Beautiful Dark Twisted Fantasy;Kanye West
Hell Of A Life;My Beautiful Dark Twisted Fantasy;Kanye West
Blame Game;My Beautiful Dark Twisted Fantasy;Kanye West
Lost In The World;My Beautiful Dark Twisted Fantasy;Kanye West
Who Will Survive In America;My Beautiful Dark Twisted Fantasy;Kanye West
Like a Rolling Stone;Highway 61 Revisited;Bob Dylan
Tombstone Blues;Highway 61 Revisited;Bob Dylan
It Takes a Lot to Laugh, It Takes a Train to Cry;Highway 61 Revisited;Bob Dylan
From a Buick 6;Highway 61 Revisited;Bob Dylan
Ballad of a Thin Man;Highway 61 Revisited;Bob Dylan
Queen Jane Approximately;Highway 61 Revisited;Bob Dylan
Highway 61 Revisited;Highway 61 Revisited;Bob Dylan
Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan
Desolation Row;Highway 61 Revisited;Bob Dylan
Wesley's Theory;To Pimp a Butterfly;Kendrick Lamar
For Free? - Interlude;To Pimp a Butterfly;Kendrick Lamar
King Kunta;To Pimp a Butterfly;Kendrick Lamar
Institutionalized;To Pimp a Butterfly;Kendrick Lamar
These Walls;To Pimp a Butterfly;Kendrick Lamar
u;To Pimp a Butterfly;Kendrick Lamar
Alright;To Pimp a Butterfly;Kendrick Lamar
For Sale? - Interlude;To Pimp a Butterfly;Kendrick Lamar
Momma;To Pimp a Butterfly;Kendrick Lamar
Hood Politics;To Pimp a Butterfly;Kendrick Lamar
How Much A Dollar Cost;To Pimp a Butterfly;Kendrick Lamar
Complexion (A Zulu Love);To Pimp a Butterfly;Kendrick Lamar
The Blacker The Berry;To Pimp a Butterfly;Kendrick Lamar
You Ain't Gotta Lie (Momma Said);To Pimp a Butterfly;Kendrick Lamar
i;To Pimp a Butterfly;Kendrick Lamar
Mortal Man;To Pimp a Butterfly;Kendrick Lamar
Everything In Its Right Place;Kid A;Radiohead
Kid A;Kid A;Radiohead
The National Anthem;Kid A;Radiohead
How to Disappear Completely;Kid A;Radiohead
Treefingers;Kid A;Radiohead
Optimistic;Kid A;Radiohead
In Limbo;Kid A;Radiohead
Idioteque;Kid A;Radiohead
Morning Bell;Kid A;Radiohead
Motion Picture Soundtrack;Kid A;Radiohead
Untitled;Kid A;Radiohead
Thunder Road;Born to Run;Bruce Springsteen
Tenth Avenue Freeze-Out;Born to Run;Bruce Springsteen
Night;Born to Run;Bruce Springsteen
Backstreets;Born to Run;Bruce Springsteen
Born to Run;Born to Run;Bruce Springsteen
She's the One;Born to Run;Bruce Springsteen
Meeting Across the River;Born to Run;Bruce Springsteen
Jungleland;Born to Run;Bruce Springsteen
Intro - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Things Done Changed - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Gimme the Loot - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Machine Gun Funk - 2006 Remaster;Ready to Die;The Notorious B.I.G.
Warning - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Ready to Die - 2006 Remaster;Ready to Die;The Notorious B.I.G.
One More Chance - 2005 Remaster;Ready to Die;The Notorious B.I.G.
"Fuck Me (Interlude) - Interlude; 2005 Remaster";Ready to Die;The Notorious B.I.G.
The What;Ready to Die;The Notorious B.I.G.
Juicy - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Everyday Struggle - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Me and My Bitch - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Big Poppa - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Respect - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Friend of Mine - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Unbelievable - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Suicidal Thoughts - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Who Shot Ya? - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Just Playing (Dreams) - 2005 Remaster;Ready to Die;The Notorious B.I.G.
Sunday Morning;The Velvet Underground & Nico;The Velvet Underground
I'm Waiting For The Man;The Velvet Underground & Nico;The Velvet Underground
Femme Fatale;The Velvet Underground & Nico;The Velvet Underground
Venus In Furs;The Velvet Underground & Nico;The Velvet Underground
Run Run Run;The Velvet Underground & Nico;The Velvet Underground
All Tomorrow's Parties;The Velvet Underground & Nico;The Velvet Underground
Heroin;The Velvet Underground & Nico;The Velvet Underground
There She Goes Again;The Velvet Underground & Nico;The Velvet Underground
I'll Be Your Mirror;The Velvet Underground & Nico;The Velvet Underground
The Black Angel's Death Song;The Velvet Underground & Nico;The Velvet Underground
European Son;The Velvet Underground & Nico;The Velvet Underground
Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
With A Little Help From My Friends - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Lucy In The Sky With Diamonds - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Getting Better - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Fixing A Hole - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
She's Leaving Home - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Being For The Benefit Of Mr. Kite! - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Within You Without You - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
When I'm Sixty Four - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Lovely Rita - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Good Morning Good Morning - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
A Day In The Life - Remastered 2009;Sgt. Pepper's Lonely Hearts Club Band;The Beatles
I Feel the Earth Move;Tapestry;Carole King
So Far Away;Tapestry;Carole King
It's Too Late;Tapestry;Carole King
Home Again;Tapestry;Carole King
Beautiful;Tapestry;Carole King
Way over Yonder;Tapestry;Carole King
You've Got a Friend;Tapestry;Carole King
Where You Lead;Tapestry;Carole King
Will You Love Me Tomorrow?;Tapestry;Carole King
Smackwater Jack;Tapestry;Carole King
Tapestry;Tapestry;Carole King
(You Make Me Feel Like) A Natural Woman;Tapestry;Carole King
Gloria: In Excelsis Deo;Horses;Patti Smith
Redondo Beach;Horses;Patti Smith
Birdland;Horses;Patti Smith
Free Money;Horses;Patti Smith
Kimberly;Horses;Patti Smith
Break It Up;Horses;Patti Smith
Land: Horses / Land of a Thousand Dances / La Mer(de);Horses;Patti Smith
Elegie;Horses;Patti Smith
My Generation - Live;Horses;Patti Smith
Gloria: In Excelsis Deo - Live;Horses;Patti Smith
Redondo Beach - Live;Horses;Patti Smith
Birdland - Live;Horses;Patti Smith
Free Money - Live;Horses;Patti Smith
Kimberly - Live;Horses;Patti Smith
Break It Up - Live;Horses;Patti Smith
Land: Horses / Land of a Thousand Dances / La Mer(de) - Live;Horses;Patti Smith
Elegie - Live;Horses;Patti Smith
My Generation - Live;Horses;Patti Smith
Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Shame On a Nigga (feat. Raekwon, Ol' Dirty Bastard & Method Man);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Clan In Da Front (feat. RZA & GZA);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Wu-Tang: 7th Chamber;Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Can It Be All So Simple / Intermission (feat. RZA, Raekwon & Ghostface Killah);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Da Mystery of Chessboxin' (feat. Method Man, U-God, Inspectah Deck, Raekwon, Ol' Dirty Bastard, Ghostface Killah & Masta Killa);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Method Man (feat. Method Man, Raekwon, GZA, RZA & Ghostface Killah);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
Tearz (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck);Enter the Wu-Tang (36 Chambers);Wu-Tang Clan
